Position_x,Position_y,Position_z,Velocity_x,Velocity_y,Velocity_z,Roll,Pitch,Yaw,AngularVelocity_x,AngularVelocity_y,AngularVelocity_z
4.3628235,3.463931,0.20000032,0.0,0.0,7.673582e-05,0.00053974736,-0.0005396905,-0.00010533792,0.12953255,-0.12953255,-0.025246143
4.3628235,3.463931,0.20000094,4.9410254e-22,2.1811099e-21,0.00014974811,0.001621295,-0.0016210402,-0.000275468,0.25952187,-0.2595733,-0.040550776
4.3628235,3.4639308,0.2000019,-2.2081318e-05,-2.2078995e-05,0.00022685772,0.0032457497,-0.0032449644,-0.00049037713,0.38971877,-0.389891,-0.050629627
4.362823,3.4639306,0.20000319,-8.8430446e-05,-8.840209e-05,0.00031442122,0.005413817,-0.0054119267,-0.0007394502,0.5200114,-0.5203906,-0.057525247
4.362822,3.4639297,0.20000494,-0.00022132049,-0.00022119468,0.00041805403,0.008126055,-0.008122207,-0.0010164059,0.65035105,-0.65103793,-0.062064372
4.36282,3.4639277,0.20000711,-0.00044299292,-0.00044262008,0.0005207877,0.011179618,-0.011376411,-0.0013198475,0.7319078,-0.781864,-0.06568117
4.362817,3.4639246,0.20000976,-0.00077585917,-0.00077497866,0.000636186,0.014355953,-0.015174945,-0.0016450327,0.7609016,-0.9127764,-0.06792424
4.3628116,3.4639194,0.20001285,-0.0012420749,-0.001231948,0.0007402053,0.017567294,-0.019015135,-0.0019783308,0.7689386,-0.92303956,-0.066816516
4.362804,3.4639118,0.20001647,-0.0018644866,-0.0018188837,0.00086931384,0.02074404,-0.022764442,-0.0023090455,0.7603227,-0.90146506,-0.06344571
4.362793,3.4639013,0.20002072,-0.0026449834,-0.0025371956,0.0010185209,0.0238542,-0.026398916,-0.0026318654,0.7440559,-0.87411356,-0.05912977
4.362778,3.4638872,0.20002563,-0.0035799465,-0.003385407,0.0011823846,0.0268856,-0.029914437,-0.002944426,0.72489274,-0.8457488,-0.05453208
4.3627586,3.463869,0.2000313,-0.004664726,-0.0043607163,0.0013564357,0.02983364,-0.03331046,-0.0032457665,0.70465076,-0.8172303,-0.04995857
4.362734,3.4638462,0.20003769,-0.0058944626,-0.0054598106,0.0015368239,0.03269635,-0.0365871,-0.0035355752,0.6839608,-0.7887167,-0.045547314
4.362704,3.4638183,0.20004486,-0.0072642383,-0.0066791773,0.0017201527,0.035472646,-0.039744623,-0.0038138272,0.6630363,-0.760246,-0.04135621
4.362667,3.463785,0.2000528,-0.008769111,-0.008015215,0.0019034077,0.03816176,-0.042783365,-0.004080613,0.6419546,-0.7318372,-0.03740483
4.3626237,3.4637456,0.20006147,-0.010404127,-0.009464274,0.0020839188,0.040763088,-0.04570373,-0.0043360633,0.62075263,-0.70350677,-0.03369488
4.362573,3.4636996,0.20007089,-0.012164327,-0.011022671,0.002259333,0.043276113,-0.0485062,-0.004580312,0.59945285,-0.6752714,-0.03021991
4.3625145,3.463647,0.200081,-0.014044753,-0.012686695,0.0024275186,0.04569899,-0.051191397,-0.0048133503,0.57773525,-0.647167,-0.02695452
4.3624477,3.4635866,0.20009178,-0.016040413,-0.014452579,0.0025857491,0.048013814,-0.053761013,-0.005033575,0.5517505,-0.619432,-0.023713585
4.3623724,3.4635186,0.20010316,-0.01814635,-0.0163165,0.0027320203,0.05021698,-0.056215946,-0.005240344,0.524927,-0.59188783,-0.020563459
4.3622875,3.4634426,0.2001151,-0.020357683,-0.018273922,0.002864949,0.052308783,-0.05855693,-0.005433557,0.4982006,-0.5645026,-0.017577065
4.362193,3.4633577,0.20012753,-0.022669574,-0.020320179,0.0029835186,0.054290637,-0.060784716,-0.005613385,0.47183844,-0.53728276,-0.0147933
4.3620887,3.4632642,0.20014039,-0.025077216,-0.022450633,0.0030869814,0.056164328,-0.06290012,-0.005780124,0.44592676,-0.5102448,-0.012225495
4.361974,3.4631615,0.20015362,-0.027575845,-0.024660716,0.0031748107,0.05793178,-0.06490402,-0.005934127,0.42049843,-0.48340768,-0.009872713
4.361848,3.4630492,0.20016715,-0.030160729,-0.026945941,0.0032466764,0.059595004,-0.06679738,-0.0060757687,0.39557236,-0.45679066,-0.007727059
4.361711,3.462927,0.2001809,-0.03282719,-0.029301923,0.0033024226,0.061156064,-0.06858124,-0.0062054284,0.37116084,-0.43041298,-0.0057775765
4.3615627,3.462795,0.20019484,-0.035570588,-0.031724364,0.0033420487,0.062617086,-0.0702567,-0.006323487,0.34727433,-0.40429357,-0.0040121754
4.361403,3.4626524,0.20020886,-0.03838635,-0.03420906,0.003365693,0.063980214,-0.07182494,-0.0064303204,0.32391948,-0.37845105,-0.0024185004
4.361231,3.4624994,0.20022291,-0.04126994,-0.03675192,0.0033736157,0.06524764,-0.07328721,-0.006526301,0.30110273,-0.35290363,-0.000984394
4.361047,3.4623353,0.20023695,-0.044216897,-0.03934893,0.0033661851,0.066421576,-0.07464484,-0.006611795,0.27882692,-0.32766923,0.00030194432
4.36085,3.4621603,0.20025088,-0.04722281,-0.041996196,0.0033438632,0.067504235,-0.07589921,-0.006687163,0.25709543,-0.30276516,0.0014518431
4.3606405,3.4619741,0.20026465,-0.050283343,-0.04468991,0.003307193,0.06849786,-0.07705178,-0.0067527597,0.23590912,-0.27820802,0.0024761404
4.360418,3.4617765,0.20027822,-0.053394213,-0.04742637,0.0032567864,0.06940469,-0.078104064,-0.0068089343,0.21526673,-0.25401434,0.0033851392
4.3601823,3.4615674,0.20029153,-0.056551218,-0.050201967,0.0031933133,0.07022696,-0.079057656,-0.0068560294,0.19516651,-0.23019955,0.004188685
4.3599334,3.4613464,0.20030452,-0.059750218,-0.0530132,0.0031174913,0.07096689,-0.07991418,-0.0068943817,0.17560646,-0.20677853,0.004896061
4.359671,3.4611137,0.20031714,-0.06298715,-0.055856656,0.0030300773,0.07162672,-0.08067534,-0.006924322,0.15658234,-0.1837656,0.005516036
4.359395,3.460869,0.20032936,-0.06625802,-0.05872902,0.0029318572,0.07220864,-0.0813429,-0.0069461744,0.13808897,-0.16117436,0.006056886
4.359105,3.4606123,0.20034112,-0.069558926,-0.06162707,0.00282364,0.07271485,-0.08191864,-0.0069602574,0.12012141,-0.13901748,0.006526405
4.3588014,3.4603434,0.2003524,-0.07288601,-0.06454769,0.0027062488,0.073147506,-0.082404435,-0.0069668824,0.10267303,-0.1173071,0.0069318637
4.358484,3.460062,0.20036316,-0.07623555,-0.067487836,0.0025805158,0.073508754,-0.08280216,-0.0069663553,0.085737504,-0.09605446,0.00728008
4.358152,3.4597685,0.20037335,-0.07960383,-0.07044457,0.002447276,0.07380072,-0.08311377,-0.006958976,0.06930781,-0.07527,0.007577387
4.357806,3.4594626,0.20038296,-0.08298728,-0.07341504,0.0023073615,0.07402549,-0.083341226,-0.0069450373,0.0533762,-0.05496353,0.007829656
4.357446,3.4591444,0.20039196,-0.08638238,-0.07639647,0.0021615971,0.07418511,-0.083486564,-0.006924827,0.037934653,-0.035143934,0.008042337
4.3570724,3.4588137,0.20040035,-0.08978571,-0.0793862,0.0020107965,0.07428164,-0.08355182,-0.0068986276,0.022976145,-0.015819294,0.008220455
4.3566837,3.4584703,0.20040809,-0.09319391,-0.0823816,0.0018557574,0.07431705,-0.08353906,-0.006866714,0.008491769,0.0030029053,0.008368584
4.3562813,3.4581146,0.20041515,-0.09660374,-0.085380174,0.0016972597,0.07429334,-0.0834504,-0.0068293572,-0.005526159,0.021316223,0.008490956
4.3558645,3.4577463,0.20042156,-0.10001201,-0.08837949,0.001536061,0.074212424,-0.08328797,-0.0067868223,-0.019085836,0.039114624,0.008591359
4.355434,3.4573655,0.20042728,-0.10341565,-0.09137717,0.0013728957,0.07407623,-0.08305391,-0.0067393687,-0.032194603,0.056393065,0.008673303
4.3549886,3.4569724,0.2004323,-0.10681163,-0.09437094,0.0012081607,0.07388296,-0.0827512,-0.00668702,-0.045735158,0.07295841,0.008722728
4.35453,3.4565668,0.20043665,-0.11019704,-0.09735857,0.0010424849,0.07363336,-0.08238227,-0.0066298633,-0.059109513,0.08893905,0.008777142
4.3540564,3.4561486,0.2004403,-0.11356909,-0.10033779,0.00087655935,0.07332923,-0.08194934,-0.006568086,-0.072057754,0.10438191,0.008835968
4.353569,3.4557183,0.20044327,-0.1169251,-0.10330636,0.0007110604,0.0729726,-0.0814546,-0.0065019326,-0.084526934,0.11929288,0.00889163
4.3530684,3.4552755,0.20044555,-0.12026247,-0.106262095,0.00054663327,0.07256554,-0.080900244,-0.006431673,-0.09651094,0.13367176,0.008940327
4.3525534,3.4548204,0.20044714,-0.1235787,-0.10920291,0.0003838875,0.07211009,-0.08028847,-0.006357584,-0.10801284,0.1475182,0.008981252
4.3520246,3.4543533,0.20044808,-0.12687136,-0.11212678,0.00022339447,0.07160826,-0.07962149,-0.0062799403,-0.11904033,0.16083272,0.009015056
4.3514824,3.4538739,0.20044835,-0.13013813,-0.11503178,6.568733e-05,0.071062036,-0.07890147,-0.0061990125,-0.12960063,0.17361617,0.009042986
4.3509264,3.4533827,0.20044798,-0.13337676,-0.11791605,-8.873917e-05,0.07047339,-0.0781306,-0.006115064,-0.13969997,0.18587105,0.009066517
4.3503575,3.4528794,0.20044698,-0.13658513,-0.1207778,-0.00023942963,0.069844216,-0.07731107,-0.0060283514,-0.149348,0.1975992,0.0090868985
4.3497753,3.4523642,0.20044537,-0.13976113,-0.12361535,-0.0003859669,0.06917641,-0.07644502,-0.0059391237,-0.15855195,0.20880386,0.009105413
4.3491797,3.4518375,0.20044318,-0.1429028,-0.12642705,-0.000527972,0.06847184,-0.075534604,-0.0058476212,-0.16731972,0.21948867,0.009123132
4.3485713,3.4512992,0.2004404,-0.14600828,-0.12921137,-0.00066510355,0.067732304,-0.07458196,-0.005754078,-0.17565897,0.2296579,0.009140969
4.3479505,3.4507494,0.20043708,-0.14907573,-0.13196681,-0.0007970574,0.0669596,-0.07358919,-0.0056587188,-0.18357897,0.23931576,0.009159615
4.3473163,3.4501882,0.20043322,-0.15210344,-0.13469197,-0.00092356536,0.066155456,-0.072558396,-0.0055617606,-0.19108692,0.24846765,0.009179727
4.34667,3.4496157,0.20042887,-0.1550898,-0.1373855,-0.0010443947,0.06532161,-0.07149164,-0.005463414,-0.19819151,0.25711906,0.009201743
4.3460116,3.449032,0.20042405,-0.15803322,-0.14004613,-0.0011593465,0.06445971,-0.070390955,-0.0053638797,-0.20490071,0.2652757,0.009225991
4.345341,3.4484377,0.20041877,-0.16093229,-0.14267267,-0.0012682554,0.06357142,-0.069258384,-0.0052633523,-0.21122265,0.27294406,0.009252705
4.344659,3.4478323,0.20041305,-0.16378558,-0.14526398,-0.0013709877,0.06265834,-0.0680959,-0.005162019,-0.2171658,0.2801306,0.009281985
4.3439646,3.4472165,0.20040694,-0.16659182,-0.14781897,-0.0014674406,0.06172204,-0.06690548,-0.005060058,-0.22273813,0.28684235,0.009313874
4.343259,3.44659,0.20040044,-0.16934979,-0.15033664,-0.001557573,0.060763,-0.06568973,-0.0049576242,-0.228199,0.29292902,0.009335642
4.342542,3.4459534,0.2003936,-0.17205833,-0.15281603,-0.0016413446,0.05978229,-0.064450815,-0.0048548384,-0.23341136,0.29848722,0.009363696
4.341814,3.4453065,0.20038645,-0.17471641,-0.15525623,-0.0017187272,0.05878143,-0.0631906,-0.0047518304,-0.23826139,0.30359894,0.009402176
4.3410754,3.4446495,0.20037898,-0.17732312,-0.15765633,-0.0017897167,0.057762012,-0.061910853,-0.004648746,-0.24273561,0.30828467,0.009446594
4.340326,3.4439828,0.20037127,-0.17987755,-0.16001551,-0.0018543341,0.056725595,-0.060613282,-0.004545735,-0.24683882,0.3125544,0.009493794
4.3395658,3.4433064,0.2003633,-0.18237893,-0.16233303,-0.0019126242,0.055673707,-0.05929959,-0.0044429465,-0.25058064,0.31641635,0.009542071
4.3387957,3.4426205,0.20035511,-0.18482654,-0.16460815,-0.0019646538,0.05460782,-0.057971418,-0.004340523,-0.25397035,0.31987888,0.009590564
4.3380156,3.4419253,0.20034674,-0.1872197,-0.16684027,-0.00201051,0.05352938,-0.0566304,-0.0042386,-0.25701743,0.32295012,0.009638755
4.337226,3.441221,0.20033818,-0.18955784,-0.16902877,-0.0020503001,0.052439786,-0.055278115,-0.0041373046,-0.2597324,0.32563856,0.009686265
4.3364267,3.440508,0.2003295,-0.19184041,-0.17117317,-0.0020841474,0.05134039,-0.053916123,-0.004036757,-0.26212415,0.3279527,0.009732817
4.335618,3.439786,0.2003207,-0.19406699,-0.173273,-0.002112192,0.050232507,-0.05254593,-0.003937069,-0.26420224,0.32990143,0.009778124
4.3348002,3.4390554,0.20031181,-0.19623716,-0.17532781,-0.0021345888,0.04911741,-0.05116903,-0.0038383445,-0.26597637,0.33149317,0.009821869
4.333974,3.4383163,0.20030284,-0.19835062,-0.17733729,-0.0021515044,0.047996342,-0.04978686,-0.00374068,-0.26745495,0.33273697,0.0098638
4.333139,3.4375694,0.20029384,-0.20040707,-0.1793011,-0.0021631182,0.046870496,-0.048400827,-0.0036441651,-0.26864743,0.33364162,0.009903596
4.3322954,3.4368143,0.2002848,-0.20240632,-0.18121901,-0.0021696193,0.04574103,-0.04701231,-0.003548882,-0.26956305,0.33421594,0.009940948
4.331444,3.4360514,0.20027575,-0.2043482,-0.18309082,-0.0021712056,0.044609066,-0.04562264,-0.0034549062,-0.27021,0.33446905,0.009975588
4.3305845,3.435281,0.20026672,-0.20623264,-0.18491635,-0.0021680824,0.04347569,-0.044233117,-0.0033623064,-0.2705971,0.33440983,0.010007208
4.3297176,3.434503,0.2002577,-0.20805958,-0.1866955,-0.0021604616,0.042341955,-0.042845003,-0.0032711453,-0.27073294,0.33404708,0.010035523
4.3288436,3.433718,0.20024876,-0.20982905,-0.18842822,-0.0021485605,0.041208867,-0.041459523,-0.0031814794,-0.27062562,0.3333901,0.010060281
4.327962,3.4329257,0.20023987,-0.21154112,-0.19011447,-0.0021326,0.040077403,-0.04007786,-0.0030933588,-0.2702834,0.33244774,0.010081207
4.3270736,3.4321268,0.20023108,-0.21319589,-0.19175425,-0.0021128042,0.038948514,-0.038701177,-0.0030068287,-0.26971477,0.33122888,0.010098051
4.3261786,3.4313211,0.20022236,-0.21479355,-0.19334766,-0.002089399,0.0378231,-0.037330575,-0.002921928,-0.2689273,0.3297425,0.0101106
4.3252773,3.430509,0.20021378,-0.21633428,-0.19489479,-0.0020626576,0.036701255,-0.035967227,-0.0028386828,-0.26811877,0.3279772,0.010113574
4.32437,3.4296908,0.2002053,-0.21781838,-0.19639575,-0.002032806,0.035583586,-0.034612197,-0.0027571165,-0.26716292,0.3259558,0.010111742
4.3234563,3.4288664,0.20019697,-0.21924615,-0.1978507,-0.0020000585,0.034470934,-0.033266492,-0.0026772518,-0.26600376,0.32369405,0.010106221
4.322537,3.4280362,0.20018877,-0.22061792,-0.1992598,-0.0019647982,0.033360783,-0.031931635,-0.00259909,-0.26544845,0.3210666,0.0100747375
4.3216124,3.4272003,0.20018075,-0.22193411,-0.20062324,-0.001927472,0.032248605,-0.030608892,-0.002522597,-0.26597857,0.31814054,0.010012958
4.3206825,3.4263587,0.20017289,-0.22319515,-0.20194113,-0.0018882487,0.031133885,-0.0292992,-0.0024477632,-0.26663098,0.31498963,0.009947597
4.3197474,3.425512,0.20016518,-0.22440158,-0.2032134,-0.0018472611,0.030017346,-0.028003393,-0.002374601,-0.2671086,0.3116389,0.009882331
4.3188076,3.4246602,0.20015766,-0.22555393,-0.20443991,-0.0018046394,0.02889999,-0.026722243,-0.0023031312,-0.26734534,0.30810195,0.009815934
4.317863,3.4238036,0.20015033,-0.2266528,-0.2056206,-0.0017605164,0.027782865,-0.025456486,-0.0022333758,-0.26732913,0.30438858,0.009747216
4.3169146,3.422942,0.20014319,-0.2276988,-0.20675546,-0.0017150276,0.026667016,-0.024206823,-0.0021653557,-0.26706102,0.3005073,0.0096755205
4.3159614,3.422076,0.20013623,-0.2286926,-0.2078445,-0.0016683107,0.02555347,-0.022973916,-0.0020990868,-0.2665447,0.29646656,0.009600584
4.315005,3.4212058,0.20012948,-0.22963485,-0.20888776,-0.0016205051,0.024443239,-0.021758398,-0.0020345808,-0.2657855,0.29227427,0.009522314
4.314044,3.420331,0.20012292,-0.23052627,-0.20988533,-0.0015717506,0.023337306,-0.020560866,-0.001971845,-0.2647881,0.28793865,0.009440738
4.3130803,3.4194527,0.20011659,-0.23136759,-0.21083736,-0.001522187,0.02223664,-0.019381884,-0.0019108817,-0.2635578,0.2834676,0.009355915
4.312113,3.4185703,0.20011045,-0.23215954,-0.21174404,-0.0014719537,0.021142177,-0.018221987,-0.0018516885,-0.26210034,0.27886885,0.009267921
4.3111424,3.4176846,0.20010453,-0.23290293,-0.2126056,-0.0014211884,0.020054841,-0.017081676,-0.0017942592,-0.2604208,0.27415028,0.009176855
4.310169,3.4167953,0.20009883,-0.23359855,-0.21342225,-0.0013700271,0.018975524,-0.015961416,-0.001738583,-0.25852516,0.26931927,0.00908281
4.309193,3.4159029,0.20009333,-0.23424721,-0.21419433,-0.0013186033,0.017905103,-0.014861649,-0.0016846454,-0.25641856,0.26438338,0.008985901
4.3082147,3.4150074,0.20008805,-0.23484975,-0.21492216,-0.0012670475,0.016844422,-0.013782782,-0.0016324287,-0.25410748,0.25934988,0.00888622
4.307234,3.414109,0.20008299,-0.23540704,-0.21560612,-0.0012154869,0.015794307,-0.012725193,-0.0015819115,-0.25159746,0.25422597,0.008783881
4.3062506,3.4132078,0.20007813,-0.23591995,-0.2162466,-0.0011640448,0.014755555,-0.011689231,-0.001533069,-0.24889405,0.24901886,0.008679003
4.3052654,3.4123044,0.2000735,-0.23638935,-0.21684405,-0.0011128407,0.0137289455,-0.010675214,-0.0014858741,-0.24600345,0.2437354,0.008571694
4.304279,3.4113984,0.20006907,-0.23681617,-0.21739893,-0.0010619891,0.012715221,-0.009683437,-0.0014402966,-0.2429326,0.23838238,0.008462052
4.3032904,3.4104905,0.20006485,-0.23720129,-0.21791175,-0.0010116003,0.01171511,-0.008714159,-0.0013963043,-0.23968628,0.23296674,0.008350217
4.302301,3.4095807,0.20006084,-0.23754567,-0.21838306,-0.0009617789,0.010729309,-0.007767619,-0.0013538627,-0.23627163,0.22749478,0.008236287
4.3013096,3.408669,0.20005704,-0.23785025,-0.21881339,-0.00091262505,0.009758489,-0.0068440246,-0.0013129351,-0.2326948,0.22197308,0.008120385
4.300318,3.4077556,0.20005345,-0.23811594,-0.21920337,-0.000864233,0.008803293,-0.0059435605,-0.0012734836,-0.2289628,0.21640767,0.008002618
