Position_x,Position_y,Position_z,Velocity_x,Velocity_y,Velocity_z,Roll,Pitch,Yaw,AngularVelocity_x,AngularVelocity_y,AngularVelocity_z
4.5,3.5,0.20000035,0.0,0.0,8.2321276e-05,-0.0005369634,0.00053687755,-0.0001599015,-0.12886092,0.12886092,-0.038341764
4.5,3.5,0.20000102,4.2563406e-21,-4.390454e-21,0.00016090996,-0.00053780136,0.0016096599,-0.00014403467,-0.00016198466,0.25746778,0.0038082544
4.5,3.5,0.20000196,2.1961878e-05,2.195837e-05,0.00022768449,2.333227e-06,0.003223133,-4.65316e-05,0.12966885,0.3872212,0.023087488
4.5000005,3.5000002,0.20000313,8.7777626e-05,4.3935022e-05,0.00028256877,0.00108517,0.004293333,1.0581569e-05,0.2598836,0.2568432,0.012730467
4.5000014,3.5000005,0.20000453,0.00021954025,4.382617e-05,0.00033387935,0.0027067433,0.0048239822,-4.1409327e-05,0.38917556,0.12734993,-0.014251933
4.500003,3.5000005,0.20000613,0.0003950207,-5.424855e-07,0.00038144217,0.004867093,0.004815118,-0.0001979197,0.5184777,-0.0021895422,-0.040061325
4.5000057,3.5,0.20000792,0.0005921688,-0.00011121088,0.0004306665,0.0075676832,0.0042655724,-0.00043205923,0.64809334,-0.13209492,-0.05913623
4.5000086,3.4999988,0.20000996,0.00078893185,-0.0003102602,0.00048922887,0.010810258,0.0031739366,-0.0007147694,0.7780622,-0.2624386,-0.07074515
4.500013,3.4999962,0.20001225,0.00096311123,-0.00061977847,0.0005515471,0.014486074,0.0015384807,-0.0010203215,0.88185275,-0.3932742,-0.07541103
4.500017,3.4999917,0.20001481,0.0010924353,-0.0010618805,0.0006138513,0.018161958,-0.0006416745,-0.0013336213,0.88159585,-0.52427465,-0.07558744
4.500022,3.4999847,0.20001774,0.0011546043,-0.0016545927,0.00070132816,0.021756947,-0.0033665125,-0.0016421274,0.8618216,-0.65524346,-0.072312206
4.5000267,3.4999747,0.20002112,0.0011271469,-0.0023979857,0.00081187114,0.025252005,-0.006636039,-0.0019414992,0.8373966,-0.78618723,-0.06765397
